id,created_at,text
927555311422050305,2017-11-06 15:16:34,RT @sarasmithdublin: @markhumphrys @WilderlandT Par for the course these days with these people. They don't like what you say so they fuck…
927550956379795456,2017-11-06 14:59:15,@Mike198Ryan @oneilllouse Nah. I'd prefer a secular liberal democracy.
927546853813563397,2017-11-06 14:42:57,"@Mike198Ryan @oneilllouse The MB is a disgusting, reactionary, hate group. Getting elected does not change that one bit."
927544742656860160,2017-11-06 14:34:34,@tallrite @Nameless_Weevil @RhetoricalMole @jpal2001Paul @gerry_shannon Now now Tony. He just did! After extensive… https://t.co/vYvfnqzlXr
927543682957479936,2017-11-06 14:30:21,@NWoulfeWriter @ExtraIRL School reform is so badly needed.
927543044424990720,2017-11-06 14:27:49,@Mike198Ryan @oneilllouse All liberal people should want the downfall of the MB. That does not mean we have to support Sisi.
927539986672640000,2017-11-06 14:15:40,@Mike198Ryan @oneilllouse It sure is. Media appearances are short. I have said in the media that I despise the Sisi… https://t.co/o6hOJNefCS
927536603760857089,2017-11-06 14:02:13,@Mike198Ryan @oneilllouse I do not ignore Sisi's crimes: https://t.co/NLtP1ee6Ej
927534576020410368,2017-11-06 13:54:10,@paulkillumney64 I don't have a copy yet.
927529056085651456,2017-11-06 13:32:14,@ShumanTheHuman @WilderlandT Thank you!
927527489055883265,2017-11-06 13:26:00,@brianshanley101 Thanks Brian!
927527385473409024,2017-11-06 13:25:35,@boggywood @TwitterSupport @TwitterSafety Thank you Helen.
927527303789400065,2017-11-06 13:25:16,"@milseogmhilis @JamesOC09392973 Thanks. I see that ""About"" on that page says Sullivan's Twitter is the Twitter I am… https://t.co/3ZQRAUShO4"
927519859256283136,2017-11-06 12:55:41,@halawaonhols @CrankyFranky70 I don't have a copy of it yet.
927518868876218368,2017-11-06 12:51:45,"@FintanCox It is incredible isn't it. In their deluded minds, this is how things should be. This is how society should be."
927515903297753089,2017-11-06 12:39:58,@JaneyMack66 @WilderlandT Thanks Kate! He's my worst stalker to date.
927515765649166338,2017-11-06 12:39:25,@katelawlor66 @WilderlandT Thank you!
927515716659630080,2017-11-06 12:39:13,@MacnamaraSylvia Let me know if you get proof that is him.
927515479379410944,2017-11-06 12:38:17,@halawaonhols @WilderlandT Thanks!
927510481681747970,2017-11-06 12:18:25,@Habibaisfugly @WilderlandT Thanks so much.
927508531397517312,2017-11-06 12:10:40,@PaulOMahony5 @WilderlandT Thanks Paul. It is shameful stuff alright and says a lot about them.
927507481814880257,2017-11-06 12:06:30,"@MacnamaraSylvia @PaddyJManning @WilderlandT Great, thanks!"
927507261299314688,2017-11-06 12:05:38,@TrueIrishFirst thanks!
927507120160899074,2017-11-06 12:05:04,@PaulOMahony5 @WilderlandT Thanks very much Paul
927506242918141952,2017-11-06 12:01:35,@CrankyFranky70 thanks!
927505923861569536,2017-11-06 12:00:19,@MuadHaderach @WilderlandT thanks!
927505854588510208,2017-11-06 12:00:02,RT @CrankyFranky70: @markhumphrys listening to you on Corks 96fm. Very well spoken. Stuck to the facts which can't be ignored.
927500383454400512,2017-11-06 11:38:18,"@NCPH1973 @Nameless_Weevil @John_the_Champ @JimmyStench @IzzyKamikaze @OrlaGleans I'm not ""anti-Muslim"". I oppose I… https://t.co/CDxdb7u1RU"
927491804185931776,2017-11-06 11:04:12,"Kevin Myers invited to chair an Irish Jewish event. ""Yet another rebuff to the idiots who mistakenly condemned him""  https://t.co/HE6qUEKxfI"
927490621413216256,2017-11-06 10:59:30,"RT @oneilllouse: @markhumphrys Just listened to your Interview on Cork's Red FM, Mark.  Brilliant, Well done.  And thank you."
927490408300589056,2017-11-06 10:58:39,@OpinionLine96 ok
927461385482784768,2017-11-06 09:03:20,@JohnOKelly51 @WilderlandT Thanks!
927460559381057537,2017-11-06 09:00:03,@MacReady69 @WilderlandT  Thanks Mac.
927451522409132032,2017-11-06 08:24:08,@Citizen02739298 @WilderlandT  Thanks!
927449807395917825,2017-11-06 08:17:19,@randwharton @WilderlandT  Thanks.
927442572020248576,2017-11-06 07:48:34,@JamesOC09392973 @WilderlandT  No the tweets are still there.
927440120202121217,2017-11-06 07:38:50,I have reported @WilderlandT for a campaign of targeted harassment against my workplace. Please consider reporting him.
927435941756538880,2017-11-06 07:22:14,RT @NCPH1973: @markhumphrys @WilderlandT They can’t even attempt to oppose you with a counter argument so resort to a pathetic online campa…
927435763851124736,2017-11-06 07:21:31,RT @JohnOKelly51: @atshaneruane @markhumphrys @WilderlandT its harrasment plain and simple.
927357506879459328,2017-11-06 02:10:33,@atshaneruane @WilderlandT  I object to people in my workplace being harrassed.
927356620019027968,2017-11-06 02:07:02,User @wilderlandt  has just started a campaign of targeted harassment against my workplace.
927348990449995777,2017-11-06 01:36:43,@eoinyk @ShaunKing  Idiotic tweet.
927298708361924608,2017-11-05 22:16:55,@BigPaulieDoyle  He spun their presence there as something good. It was approving. Watch the video.
927297885384867847,2017-11-05 22:13:38,"RT @HillelNeuer: 1st Prize for Dumbest U.S. University: 
@RutgersU—for hiring Syrian UN rep who defended Assad's genocide as prof of. . . i…"
927297153134989313,2017-11-05 22:10:44,@hackett1982  No problem. I will do my job like a professional.
927296933542137857,2017-11-05 22:09:51,RT @Simonc46176551: @markhumphrys Typical left - don't respond to anything you've said but try to attack you
927296811253067776,2017-11-05 22:09:22,@BigPaulieDoyle  So it's cool that he mentioned the Nazi group? No second thoughts? No little doubts?
927294597868544002,2017-11-05 22:00:35,How could anyone fall for my transparent schemes! 😀😂😂😂👿👿👿💀💀😀😁😀😁😂😂😂 https://t.co/hXXoPws3Y6
927293531701563392,2017-11-05 21:56:20,"RT @DanielJHannan: After a year of blaming hate crimes on Brexit, these numpties now publish cartoons that glorify physical violence agains…"
927287103641325569,2017-11-05 21:30:48,@Lamhfada @ChopperTheNext That fellow is a Nazi which is why I block him.
927286822509608960,2017-11-05 21:29:41,@seanmac65 Thanks Sean. Very civilized of you. If only everyone was like you.
927280492411539457,2017-11-05 21:04:32,"@BigPaulieDoyle Your man mentioned the ""Christians"" at his speech. It turns out these Christians are actual Egyptia… https://t.co/gIgH1yjN6l"
927277939963686917,2017-11-05 20:54:23,@mark_omahony1 It may have happened. Go find proof.
927277134468599810,2017-11-05 20:51:11,@JohnOKelly51 @ROIGIF @boggywood @Aoife__Carey To make the mean facts go away.
927276679550132224,2017-11-05 20:49:23,"RT @PDJT2016: @markhumphrys Brilliant research as always, Mark"
927276397462159360,2017-11-05 20:48:15,@JohnOKelly51 @ROIGIF @boggywood @Aoife__Carey No sign of it yet. But if it happens we should welcome it.
927275938999611393,2017-11-05 20:46:26,@BigPaulieDoyle Yes. Approvingly. That the presence of the (Nazi) Christians proved his rally was not that bad.
927275393916260352,2017-11-05 20:44:16,@ktharrington_co That's not very nice Katie.
927274837546061824,2017-11-05 20:42:03,@ROIGIF @JohnOKelly51 @Aoife__Carey LOL that idiot blocked me when confronted with my facts. What a lightweight.
927274288637448192,2017-11-05 20:39:52,"@mark_omahony1 That is just a theory, not a fact. It may be true. Who knows."
927274158211452928,2017-11-05 20:39:21,@ROIGIF @JohnOKelly51 @Aoife__Carey If those statements are libellous I would love to know. But you have to prove t… https://t.co/qVMrerSUHD
927273863850987521,2017-11-05 20:38:11,@ROIGIF @JohnOKelly51 @Aoife__Carey Morsi is a racist. As John said. Apologise to John.
927252294047031297,2017-11-05 19:12:29,@mark_omahony1 Bullshit. You never did.
927252191324311552,2017-11-05 19:12:04,@ROIGIF @JohnOKelly51 @Aoife__Carey Stop changing subject. Morsi is a racist. What John said is true. Apologise to him.
927251719079292928,2017-11-05 19:10:11,@mark_omahony1 No you haven't.
927251227662082049,2017-11-05 19:08:14,@ROIGIF @JohnOKelly51 @Aoife__Carey What assumption? Soltan and Morsi are racists. He cited them as his leaders in his speech. 100% true.
