ClusterID,Product
1,Thanks Lou. https://t.co/hDm7MrrwTD
1,"True, thanks. https://t.co/xD2hlCobgo"
1,Thank you. https://t.co/iGNIDSqlfZ
1,Thank you.  https://t.co/BbD9deWjbQ
1,True! https://t.co/sEdzvjuHgY
1,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4
1,Thanks.  https://t.co/CD3SYvgKfj
1,True. https://t.co/kbdTazxEZG
1,"Thank you, Greta.  https://t.co/CWQZlIBV78"
1,Thank you for your service!  https://t.co/xBJ47fUXC0
1,Thanks. https://t.co/xU5h2BwojR
1,"True, thanks. https://t.co/xqlRporCwT"
1,Thank you. https://t.co/oRATmdIzqE
2,"Thank you America! #Trump2016
https://t.co/jOD54EGGmG"
2,"Thank you New York, and Pennsylvania!
#MakeAmericaGreatAgain #Trump2016 https://t.co/sziCGsvGbz"
2,RT @EricTrump: Debate ready!!! @realDonaldTrump #MakeAmericaGreatAgain #TrumpTrain https://t.co/qE6suiO315
2,"""@PhinsDiehard: @CNN  Only Donald Trump can #MakeAmericaGreatAgain"" Thank you!"
2,"#MakeAmericaGreatAgain #Trump2016
LIFE CHANGING EXPERIENCE
Video: https://t.co/8kAswDS0bc https://t.co/0bSTLvq7V9"
2,Another new Iowa poll just released. Thank you! #IACaucus #FITN https://t.co/RGkrruqpM7
2,"Join me in San Jose, California- tomorrow evening at 7pm!
#MakeAmericaGreatAgain #Trump2016
https://t.co/jLQukR550J https://t.co/Uds8OdH3A4"
2,Thank you Nevada! #MakeAmericaGreatAgain #Trump2016 https://t.co/n6hGfdCWuv
2,"Thank you Vermont! #VoteTrumpVT
https://t.co/8KGOpqDb9t"
2,"Thank you, Greta.  https://t.co/CWQZlIBV78"
2,"""National Black Republican Association Endorses Donald J. Trump"" #Trump2016 #MakeAmericaGreatAgain
https://t.co/9IPw30G5OG"
2,"""@RoniSeale: @DanScavino  @FoxNews @EricTrump @ericbolling #GoTrump #MakeAmericaGreatAgain #gop #Trump2016 http://t.co/WgVNBFK4ik"""
2,#VoteTrump2016 &amp; together we will #MakeAmericaGreatAgain! THANK YOU for your support! https://t.co/bziqUSHnbi
2,"Thank you, @DonaldJTrumpJr! #Trump2016 #MakeAmericaGreatAgain
https://t.co/FJXjkZAAQf https://t.co/0NQLzbwuFo"
2,"""@dboiarsky: @realDonaldTrump MAKE AMERICA GREAT AGAIN, DT! _ԍ"""
2,"Thank you Marco, I agree! https://t.co/PTfFzFno9p"
2,"#Trump2016 #IACaucus Finder:
https://t.co/ANvTcZqfOq https://t.co/1vjCHYYlzU"
